"bug.id","temp.avg","temp.var","treatment","mass.3","mass.4","mass.5","mass.wand","mass.48em","num.ovp","suc.ovp","instar.em","bled.em","num.em","num.coc","num.fail.spin","num.ecl","num.unem","load","date.laid.j","date.hatch.j","date.died.j","date.3.j","date.4.j","date.5.j","date.wand.j","date.ovp.j","date.em.j","date.ecl.j","waspdev.tot","waspdev.int","stsp.llsurv","stsp.pupsurv","tot.elsurv","tot.llsurv","tot.surv","timeto3","timeto4","timeto5","int3","ttwand","ttem","date.coll.j","coll.loc","pop","diet","end","int5","use","int4","ttend","mass.end"
"28.0_c_6","28","0","control",40.61,162.24,6160.3,9772.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,67,NA,72,74,80,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,13,2,15,NA,NA,NA,"lab","col",82,2,1,6,15,9772.58
"28.0_c_16","28","0","control",43.64,327.12,2615.15,10929.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,67,NA,72,75,78,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,11,3,15,NA,NA,NA,"lab","col",82,4,1,3,15,10929.36
"28.0_c_21","28","0","control",55.33,184.78,4805.1,9226.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,67,NA,72,74,80,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,13,2,15,NA,NA,NA,"lab","col",82,2,1,6,15,9226.09
"28.0_c_31","28","0","control",58.16,223.03,3284.45,8317.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,67,NA,73,76,80,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,16,NA,NA,NA,"lab","col",83,3,1,4,16,8317.57
"28.0_c_32","28","0","control",66.23,215.3,2354.8,9444.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,67,NA,73,76,80,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,17,NA,NA,NA,"lab","col",84,4,1,4,17,9444.83
"28.0_c_33","28","0","control",65.13,196.81,1954.38,9552.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,67,NA,73,75,79,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,12,2,16,NA,NA,NA,"lab","col",83,4,1,4,16,9552.97
"28.0_c_34","28","0","control",59.64,309.65,2115.4,7709.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,67,NA,73,76,80,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,18,NA,NA,NA,"lab","col",85,5,1,4,18,7709.42
"28.0_c_35","28","0","control",83.62,211.24,2725.5,9170.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,67,NA,73,75,79,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,12,2,15,NA,NA,NA,"lab","col",82,3,1,4,15,9170.81
"28.0_c_36","28","0","control",59.59,250.32,1900.23,8202.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,67,NA,73,76,79,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,12,3,16,NA,NA,NA,"lab","col",83,4,1,3,16,8202.33
"28.0_c_38","28","0","control",63.31,253.45,3247.54,10148.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,67,NA,73,75,79,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,12,2,15,NA,NA,NA,"lab","col",82,3,1,4,15,10148.42
