"bug.id","treatment","temp.avg","temp.var","instar","day.age","mass.wand","mass.48em","num.ovp","suc.ovp","instar.em","bled.em","num.em","num.coc","num.fail.spin","num.ecl","num.unem","load","date.laid.j","date.hatch.j","date.died.j","date.3.j","date.4.j","date.5.j","date.wand.j","date.ovp.j","date.em.j","date.ecl.j","waspdev.tot","waspdev.int","stsp.llsurv","stsp.pupsurv","tot.elsurv","tot.llsurv","tot.surv","timeto3","timeto4","timeto5","int3","ttwand","ttem","date.coll.j","coll.loc","pop","diet","end","int5","use","int4","ttend","mass"
"25.0_c_1","control","25","0","3",4,10025.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,157,160,164,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,11,3,16,NA,NA,NA,"lab","col",169,5,1,4,16,51.95
"25.0_c_1","control","25","0","4",7,10025.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,157,160,164,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,11,3,16,NA,NA,NA,"lab","col",169,5,1,4,16,276.05
"25.0_c_1","control","25","0","5",11,10025.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,157,160,164,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,11,3,16,NA,NA,NA,"lab","col",169,5,1,4,16,1758.59
"25.0_c_1","control","25","0","end",16,10025.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,157,160,164,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,11,3,16,NA,NA,NA,"lab","col",169,5,1,4,16,10025.17
"25.0_c_10","control","25","0","3",5,11171.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,158,161,164,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,11,3,15,NA,NA,NA,"lab","col",168,4,1,3,15,77.4
"25.0_c_10","control","25","0","4",8,11171.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,158,161,164,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,11,3,15,NA,NA,NA,"lab","col",168,4,1,3,15,509.87
"25.0_c_10","control","25","0","5",11,11171.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,158,161,164,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,11,3,15,NA,NA,NA,"lab","col",168,4,1,3,15,1945.77
"25.0_c_10","control","25","0","end",15,11171.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,158,161,164,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,11,3,15,NA,NA,NA,"lab","col",168,4,1,3,15,11171.53
"25.0_c_12","control","25","0","3",5,10922.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,158,161,165,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",169,4,1,4,16,89.02
"25.0_c_12","control","25","0","4",8,10922.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,158,161,165,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",169,4,1,4,16,416.85
"25.0_c_12","control","25","0","5",12,10922.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,158,161,165,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",169,4,1,4,16,2199.11
"25.0_c_12","control","25","0","end",16,10922.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,158,161,165,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",169,4,1,4,16,10922.71
"25.0_c_13","control","25","0","3",6,11240.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,158,161,165,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,17,NA,NA,NA,"lab","col",169,4,1,4,17,48.34
"25.0_c_13","control","25","0","4",9,11240.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,158,161,165,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,17,NA,NA,NA,"lab","col",169,4,1,4,17,298.07
"25.0_c_13","control","25","0","5",13,11240.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,158,161,165,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,17,NA,NA,NA,"lab","col",169,4,1,4,17,2806.96
"25.0_c_13","control","25","0","end",17,11240.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,158,161,165,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,17,NA,NA,NA,"lab","col",169,4,1,4,17,11240.25
"25.0_c_14","control","25","0","3",6,12015.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,17,NA,NA,NA,"lab","col",170,4,1,4,17,55.58
"25.0_c_14","control","25","0","4",9,12015.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,13,3,17,NA,NA,NA,"lab","col",170,4,1,4,17,266.5
