"id","bug.id","treatment","temp.avg","temp.var","hs.temp","hs.num","date.died","date.hatch","date.ovp","time.ovp","num.ovp","suc.ovp","date.3","mass.3","date.in.hs","time.in.hs","time.hs","time.ths1.ovp","date.out.hs","time.out.hs","date.4","mass.4","date.5","mass.5","date.em","instar.em","bled.em","mass.48em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","num.unem","load","date.end","mass.end","mongo.age","mongo.mass","instar.end","diss.wasp","diss.wasp.stage","mel","wand","pup","mass.wand","date.wand","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.em.j","date.ecl.j","date.end.j","date.wand.j","died","time.ovp.dec","time.in.hs.dec","time.hs.dec","time.ths1.ovp.dec","time.out.hs.dec","hr.hs","day.hs","tt3","inst3","tt4","inst4","tt5","ttem","ttend","ttem.w","ttecl","dt.coc","mass.end.all","class","ttend.all","ttwand"
1,"25.10_para_0.0_1","para",25,10,0,0,NA,"1/28/18","2/2/18",13:21:00,1,NA,"2/2/18",46.83,NA,NA,NA,NA,NA,NA,"2/5/18",221,"2/9/18",829.95,"2/16/18",5,0,2683.98,123,117,6,"2/21/18",104,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. mass 5 taken in pm",NA,0,28,33,33,NA,NA,36,40,47,52,0,NA,"0",13.35,NA,NA,NA,NA,NA,NA,5,3,8,4,12,19,NA,14,19,5,2683.98,"em",19,NA
3,"25.10_para_42.1_3","para",25,10,42,1,NA,"1/28/18","2/2/18",11:07:00,1,NA,"2/2/18",74.18,"2/2/18",11:07:00,13:00:00,"1:53","2/2/18",19:10:00,"2/5/18",169.8,"2/9/18",791.98,"2/16/18",5,0,1621.39,3,2,1,"2/23/18",2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,28,33,33,33,33,36,40,47,54,0,NA,"0",11.1166666666667,11.1166666666667,13,1.88333333333333,19.1666666666667,8.05,0.335416666666667,5,3,8,4,12,19,NA,14,21,7,1621.39,"em",19,NA
4,"25.10_para_0.0_4","para",25,10,0,0,NA,"1/28/18","2/2/18",13:20:00,1,NA,"2/2/18",52.28,NA,NA,NA,NA,NA,NA,"2/5/18",249.57,"2/9/18",1147.18,"2/15/18",5,0,4112.98,112,96,16,"2/20/18",63,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. mass 5 taken in pm",NA,0,28,33,33,NA,NA,36,40,46,51,0,NA,"0",13.3333333333333,NA,NA,NA,NA,NA,NA,5,3,8,4,12,18,NA,13,18,5,4112.98,"em",18,NA
5,"25.10_para_40.2_5","para",25,10,40,2,NA,"1/28/18","2/2/18",11:23:00,2,NA,"2/2/18",55.47,"2/2/18",11:24:00,13:00:00,"1:37","2/3/18",18:05:00,"2/6/18",150.21,"2/12/18",450.15,"2/18/18",5,0,617.68,1,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"1",1,0,NA,NA,NA,"mass 4 and 5 taken in pm. no wasp eclosion after 4 weeks","found 1 wasp larvae, probably late first or early 2nd. also found lots of mel plaques on tissues.mix of spherical and flat. also found some teratocytes",0,28,33,33,33,34,37,43,49,NA,0,NA,"0",11.3833333333333,11.4,13,1.61666666666667,18.0833333333333,30.6833333333333,1.27847222222222,5,4,9,6,15,21,NA,16,NA,NA,617.68,"em",21,NA
6,"25.10_para_42.2_6","para",25,10,42,2,NA,"1/28/18","2/2/18",11:36:00,1,NA,"2/2/18",41.96,"2/2/18",11:36:00,13:00:00,"1:24","2/3/18",18:05:00,"2/6/18",109.41,"2/11/18",691.84,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/23/18",15076.1,1,1,6,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. cutcile removed from 5th prolegs after molt to 5th. molted to 6th instar 2/16/18. mass: 2837.01",NA,0,28,33,33,33,34,37,42,0,NA,54,NA,"0",11.6,11.6,13,1.4,18.0833333333333,30.4833333333333,1.27013888888889,5,4,9,5,14,NA,26,NA,NA,NA,15076.1,"mongo",26,NA
7,"25.10_para_0.0_7","para",25,10,0,0,NA,"1/28/18","2/2/18",13:18:00,1,NA,"2/2/18",58.47,NA,NA,NA,NA,NA,NA,"2/6/18",248.94,"2/12/18",1496.58,"2/17/18",5,0,2011.03,76,75,1,"2/23/18",45,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. removed cuticle from 5th prolegs after molt to 5th",NA,0,28,33,33,NA,NA,37,43,48,54,0,NA,"0",13.3,NA,NA,NA,NA,NA,NA,5,4,9,6,15,20,NA,15,21,6,2011.03,"em",20,NA
9,"25.10_para_42.3_9","para",25,10,42,3,NA,"1/28/18","2/2/18",12:07:00,1,NA,"2/2/18",43.87,"2/2/18",12:08:00,13:00:00,"0:53","2/4/18",19:30:00,"2/5/18",221.51,"2/9/18",1297.12,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/23/18",17477.12,1,1,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,28,33,33,33,35,36,40,0,NA,54,NA,"0",12.1166666666667,12.1333333333333,13,0.883333333333333,19.5,55.3666666666667,2.30694444444444,5,3,8,4,12,NA,26,NA,NA,NA,17477.12,"mongo",26,NA
13,"25.10_para_0.0_13","para",25,10,0,0,NA,"1/28/18","2/2/18",13:16:00,1,NA,"2/2/18",55.72,NA,NA,NA,NA,NA,NA,"2/5/18",253.46,"2/9/18",1207.83,"2/15/18",5,0,4774.74,115,88,27,"2/20/18",80,47,162,NA,NA,NA,NA,NA,1,"2",0,0,NA,NA,NA,"mass 4 and 5 taken in pm","most of dissected wasps were 2nd instars, maybe a few 1sts and little 2nds",0,28,33,33,NA,NA,36,40,46,51,0,NA,"0",13.2666666666667,NA,NA,NA,NA,NA,NA,5,3,8,4,12,18,NA,13,18,5,4774.74,"em",18,NA
15,"25.10_para_42.1_15","para",25,10,42,1,NA,"1/28/18","2/2/18",11:06:00,1,NA,"2/2/18",43.6,"2/2/18",11:07:00,13:00:00,"1:54","2/2/18",19:10:00,"2/5/18",237.83,"2/8/18",794.59,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/22/18",2410.47,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. mass 5 taken in pm",NA,0,28,33,33,33,33,36,39,0,NA,53,NA,"0",11.1,11.1166666666667,13,1.9,19.1666666666667,8.05,0.335416666666667,5,3,8,3,11,NA,25,NA,NA,NA,2410.47,"mongo",25,NA
16,"25.10_para_40.2_16","para",25,10,40,2,NA,"1/28/18","2/2/18",11:22:00,2,NA,"2/2/18",53.21,"2/2/18",11:24:00,13:00:00,"1:38","2/3/18",18:05:00,"2/5/18",305.93,"2/9/18",1446.97,"2/17/18",5,0,2164.84,1,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"all",0,0,NA,NA,NA,"mass 4 and 5 taken in pm","half of wasp larvae were large seconds that looked ready to emerge, others were firsts--one small, one large. No obvious mel",0,28,33,33,33,34,36,40,48,NA,0,NA,"0",11.3666666666667,11.4,13,1.63333333333333,18.0833333333333,30.6833333333333,1.27847222222222,5,3,8,4,12,20,NA,15,NA,NA,2164.84,"em",20,NA
