"id","hs.temp","hs.num","instar","bug.id","treatment","temp.avg","temp.var","date.died","date.hatch","date.ovp","time.ovp","num.ovp","suc.ovp","date.3","date.in.hs","time.in.hs","time.hs","time.ths1.ovp","date.out.hs","time.out.hs","date.4","date.5","date.em","instar.em","bled.em","mass.48em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","num.unem","load","date.end","mass.end","mongo.age","mongo.mass","instar.end","diss.wasp","diss.wasp.stage","mel","wand","pup","mass.wand","date.wand","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.em.j","date.ecl.j","date.end.j","date.wand.j","died","time.ovp.dec","time.in.hs.dec","time.hs.dec","time.ths1.ovp.dec","time.out.hs.dec","hr.hs","day.hs","tt3","inst3","tt4","inst4","tt5","ttem","ttend","ttem.w","ttecl","dt.coc","class","ttend.all","ttwand","mass","day.age"
1,0,0,"3","25.10_para_0.0_1","para",25,10,NA,"1/28/18","2/2/18",13:21:00,1,NA,"2/2/18",NA,NA,NA,NA,NA,NA,"2/5/18","2/9/18","2/16/18",5,0,2683.98,123,117,6,"2/21/18",104,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. mass 5 taken in pm",NA,0,28,33,33,NA,NA,36,40,47,52,0,NA,"0",13.35,NA,NA,NA,NA,NA,NA,5,3,8,4,12,19,NA,14,19,5,"em",19,NA,46.83,5
1,0,0,"4","25.10_para_0.0_1","para",25,10,NA,"1/28/18","2/2/18",13:21:00,1,NA,"2/2/18",NA,NA,NA,NA,NA,NA,"2/5/18","2/9/18","2/16/18",5,0,2683.98,123,117,6,"2/21/18",104,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. mass 5 taken in pm",NA,0,28,33,33,NA,NA,36,40,47,52,0,NA,"0",13.35,NA,NA,NA,NA,NA,NA,5,3,8,4,12,19,NA,14,19,5,"em",19,NA,221,8
1,0,0,"5","25.10_para_0.0_1","para",25,10,NA,"1/28/18","2/2/18",13:21:00,1,NA,"2/2/18",NA,NA,NA,NA,NA,NA,"2/5/18","2/9/18","2/16/18",5,0,2683.98,123,117,6,"2/21/18",104,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. mass 5 taken in pm",NA,0,28,33,33,NA,NA,36,40,47,52,0,NA,"0",13.35,NA,NA,NA,NA,NA,NA,5,3,8,4,12,19,NA,14,19,5,"em",19,NA,829.95,12
1,0,0,"end.all","25.10_para_0.0_1","para",25,10,NA,"1/28/18","2/2/18",13:21:00,1,NA,"2/2/18",NA,NA,NA,NA,NA,NA,"2/5/18","2/9/18","2/16/18",5,0,2683.98,123,117,6,"2/21/18",104,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. mass 5 taken in pm",NA,0,28,33,33,NA,NA,36,40,47,52,0,NA,"0",13.35,NA,NA,NA,NA,NA,NA,5,3,8,4,12,19,NA,14,19,5,"em",19,NA,2683.98,19
100,42,2,"3","25.10_para_42.2_100","para",25,10,NA,"1/28/18","2/3/18",11:03:00,1,NA,"2/3/18","2/3/18",11:12:00,13:00:00,"1:57","2/4/18",19:30:00,"2/7/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",13252.28,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. removed cuticle from 3rd-5th prolegs after molt to 5th",NA,0,28,34,34,34,35,38,43,0,NA,57,NA,"0",11.05,11.2,13,1.95,19.5,32.3,1.34583333333333,6,4,10,5,15,NA,29,NA,NA,NA,"mongo",29,NA,64.96,6
100,42,2,"4","25.10_para_42.2_100","para",25,10,NA,"1/28/18","2/3/18",11:03:00,1,NA,"2/3/18","2/3/18",11:12:00,13:00:00,"1:57","2/4/18",19:30:00,"2/7/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",13252.28,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. removed cuticle from 3rd-5th prolegs after molt to 5th",NA,0,28,34,34,34,35,38,43,0,NA,57,NA,"0",11.05,11.2,13,1.95,19.5,32.3,1.34583333333333,6,4,10,5,15,NA,29,NA,NA,NA,"mongo",29,NA,267.16,10
100,42,2,"5","25.10_para_42.2_100","para",25,10,NA,"1/28/18","2/3/18",11:03:00,1,NA,"2/3/18","2/3/18",11:12:00,13:00:00,"1:57","2/4/18",19:30:00,"2/7/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",13252.28,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. removed cuticle from 3rd-5th prolegs after molt to 5th",NA,0,28,34,34,34,35,38,43,0,NA,57,NA,"0",11.05,11.2,13,1.95,19.5,32.3,1.34583333333333,6,4,10,5,15,NA,29,NA,NA,NA,"mongo",29,NA,1510.65,15
100,42,2,"end.all","25.10_para_42.2_100","para",25,10,NA,"1/28/18","2/3/18",11:03:00,1,NA,"2/3/18","2/3/18",11:12:00,13:00:00,"1:57","2/4/18",19:30:00,"2/7/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",13252.28,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. removed cuticle from 3rd-5th prolegs after molt to 5th",NA,0,28,34,34,34,35,38,43,0,NA,57,NA,"0",11.05,11.2,13,1.95,19.5,32.3,1.34583333333333,6,4,10,5,15,NA,29,NA,NA,NA,"mongo",29,NA,13252.28,29
102,42,3,"3","25.10_para_42.3_102","para",25,10,NA,"1/28/18","2/3/18",11:09:00,1,NA,"2/3/18","2/3/18",11:12:00,13:00:00,"1:51","2/5/18",19:20:00,"2/6/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",9195.54,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,28,34,34,34,36,37,43,0,NA,57,NA,"0",11.15,11.2,13,1.85,19.3333333333333,56.1333333333333,2.33888888888889,6,3,9,6,15,NA,29,NA,NA,NA,"mongo",29,NA,57.57,6
102,42,3,"4","25.10_para_42.3_102","para",25,10,NA,"1/28/18","2/3/18",11:09:00,1,NA,"2/3/18","2/3/18",11:12:00,13:00:00,"1:51","2/5/18",19:20:00,"2/6/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",9195.54,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,28,34,34,34,36,37,43,0,NA,57,NA,"0",11.15,11.2,13,1.85,19.3333333333333,56.1333333333333,2.33888888888889,6,3,9,6,15,NA,29,NA,NA,NA,"mongo",29,NA,213.39,9
